colonyID	substrate	antweight_mg	antspeed_cm.s	seedweight_mg
B1	gravel	18.97	0.69	17.50
B1	gravel	7.82	0.54	11.10
B1	gravel	6.74	0.45	12.00
B1	gravel	5.41	0.39	13.70
B1	gravel	10.38	0.56	18.10
B1	gravel	7.09	0.62	9.70
B1	gravel	10.54	0.59	12.20
B1	gravel	15.59	0.54	23.50
B1	gravel	12.45	0.59	13.00
B1	gravel	14.62	0.63	16.30
B1	gravel	17.37	1.05	6.80
C1	sand	4.25	0.43	25.41
C1	sand	1.68	0.83	6.07
C1	sand	6.23	0.86	6.39
C1	sand	4.07	0.20	23.85
C1	sand	3.68	0.20	26.48
C1	sand	17.24	1.34	12.37
C1	sand	6.73	0.46	10.32
C1	sand	3.27	0.81	12.81
C1	sand	3.90	0.65	12.17
C1	sand	8.44	1.80	8.51
C1	sand	3.72	1.05	10.91
C1	sand	2.01	0.16	11.76
C1	sand	7.11	2.00	12.48
C1	sand	2.02	0.89	4.73
C1	sand	4.02	0.33	27.84
C1	sand	7.44	0.69	34.85
C1	sand	3.31	0.46	19.61
C1	sand	4.70	0.25	29.78
C1	sand	3.34	0.16	11.38
A1	sand	5.72	0.84	6.88
A1	sand	7.34	0.82	9.90
A1	sand	3.27	1.43	3.67
A1	sand	6.04	0.64	26.99
A1	sand	3.60	1.21	1.25
A1	sand	5.12	0.53	9.58
A1	sand	2.04	0.35	19.48
A1	sand	14.93	1.43	6.34
A1	sand	1.44	0.54	3.58
A1	sand	4.59	1.01	5.12
A1	sand	8.86	0.71	14.21
A1	sand	6.22	0.70	14.02
A1	sand	17.18	0.98	8.03
A1	sand	5.67	0.59	5.03
A1	sand	1.54	0.43	5.18
A1	sand	5.59	0.91	14.21
A1	sand	3.06	1.02	3.96
A1	sand	1.70	0.69	4.94
A1	sand	4.51	0.47	3.42
A1	sand	12.07	1.02	19.14
A1	gravel	2.80	0.24	10.79
A1	gravel	8.83	0.48	3.56
A1	gravel	6.26	0.52	7.70
A1	gravel	3.44	0.47	4.67
A1	gravel	9.21	0.36	30.13
A1	gravel	10.94	0.61	11.00
A1	gravel	6.65	0.94	6.83
A1	sand	10.19	0.85	13.80
A1	sand	8.79	0.87	5.27
A1	sand	6.71	0.69	10.56
A1	sand	4.63	0.78	2.85
A1	sand	2.45	0.88	3.74
A1	sand	14.71	1.03	5.34
A1	sand	2.84	0.59	5.34
A1	sand	11.70	1.01	9.95
A1	sand	2.24	0.77	2.73
A1	sand	2.24	0.48	9.47
A1	sand	5.87	0.85	17.03
A1	sand	3.75	1.00	7.21
A1	sand	2.32	0.39	11.09
A1	sand	3.53	0.59	11.97
A1	gravel	11.81	1.10	4.20
A1	gravel	8.68	0.56	21.60
A1	gravel	10.19	0.48	6.00
A1	gravel	12.75	0.94	11.80
A1	gravel	7.41	0.49	6.80
A1	gravel	3.82	0.43	7.40
A1	gravel	3.55	0.67	2.90
A1	gravel	4.00	0.43	18.00
A1	gravel	10.84	0.73	16.00
A1	gravel	9.56	0.75	5.95
A1	gravel	13.79	0.82	14.41
A1	gravel	11.39	0.81	17.69
A1	gravel	4.10	0.64	6.13
A1	gravel	14.27	0.19	15.23
A1	gravel	3.82	0.38	7.61
A1	gravel	4.85	0.88	1.95
A1	gravel	2.52	0.44	3.87
A1	gravel	9.38	0.47	17.32
A1	gravel	5.61	0.64	2.37
A1	gravel	2.27	0.42	2.46
A1	gravel	5.19	0.37	3.45
A1	gravel	1.54	0.36	4.27
A1	gravel	16.93	0.54	11.46
B1	sand	16.26	0.63	35.10
B1	sand	22.91	0.91	25.60
B1	sand	6.56	0.67	11.10
B1	sand	22.97	1.04	18.50
B1	sand	17.38	1.51	6.60
B1	sand	28.90	1.07	15.30
B1	sand	18.33	0.76	27.50
B1	sand	5.69	0.51	8.40
B1	sand	16.14	1.40	2.60
B1	sand	8.48	0.69	13.90
B1	sand	13.92	0.95	18.20
B1	sand	12.01	0.94	14.60
B1	sand	13.38	1.08	1.80
B1	sand	3.70	0.27	2.80
B1	sand	5.69	0.94	5.40
B1	sand	12.43	1.51	11.90
B1	sand	17.59	0.31	11.00
B1	sand	8.56	1.06	7.20
B1	sand	18.64	1.02	14.30
B1	sand	18.72	0.40	20.00
C1	gravel	15.41	0.92	10.65
C1	gravel	9.30	0.68	11.27
C1	gravel	8.01	0.57	17.53
C1	gravel	5.59	0.15	5.98
C1	gravel	7.35	0.90	2.55
C1	gravel	30.71	0.79	11.28
C1	gravel	3.80	0.51	3.52
C1	gravel	10.79	0.66	9.28
C1	gravel	8.04	0.52	14.96
C1	gravel	2.49	0.59	2.55
C1	gravel	5.98	0.43	2.98
C1	gravel	6.94	0.62	2.17
C1	gravel	19.74	0.66	17.03
C1	gravel	5.95	0.37	13.29
C1	gravel	4.40	0.36	6.69
C1	gravel	12.88	0.75	17.09
B1	gravel	14.03	0.71	10.50
B1	gravel	10.53	0.34	22.20
B1	gravel	17.35	1.06	12.80
B1	gravel	11.05	0.86	7.10
B1	gravel	19.97	0.76	9.70
B1	gravel	18.03	0.51	33.20
B1	gravel	10.67	0.42	12.20
B1	gravel	7.30	0.35	17.20
B1	gravel	21.99	0.74	13.10
B1	gravel	14.21	0.48	15.80
B1	gravel	7.56	0.67	9.40
B1	gravel	25.33	0.93	23.10
B1	gravel	8.19	0.60	20.40
C1	sand	10.22	1.21	4.99
C1	sand	8.87	0.73	28.54
C1	sand	3.03	0.19	26.94
C1	sand	7.79	0.52	2.66
C1	sand	6.27	0.28	15.15
C1	sand	5.85	0.92	3.04
C1	sand	10.21	1.00	2.21
C1	sand	5.15	0.53	8.12
C1	sand	9.40	0.55	23.64
C1	sand	4.07	0.37	8.58
C1	sand	1.51	0.21	10.27
C1	sand	6.50	0.18	24.61
C1	sand	2.85	1.06	2.86
C1	sand	6.42	0.29	21.07
C1	sand	3.89	0.58	8.46
C1	sand	2.57	0.78	3.14
C1	sand	8.93	1.54	12.06
C1	sand	5.84	0.70	16.91
B1	sand	11.46	0.89	7.40
B1	sand	14.52	0.62	6.70
B1	sand	7.96	0.57	14.50
B1	sand	9.77	0.54	23.40
B1	sand	6.16	0.54	15.60
B1	sand	11.99	0.72	6.90
B1	sand	13.13	0.32	31.10
B1	sand	9.42	1.20	12.20
B1	sand	17.99	0.77	23.20
B1	sand	13.20	0.82	20.50
B1	sand	3.84	0.54	3.50
B1	sand	30.69	1.19	8.10
B1	sand	4.09	0.93	12.20
B1	sand	10.07	1.20	4.50
B1	sand	6.74	0.74	5.90
B1	sand	6.50	1.44	4.30
B1	sand	13.91	1.43	10.00
C1	gravel	6.79	0.38	25.91
C1	gravel	4.99	0.56	6.17
C1	gravel	6.37	0.53	6.42
C1	gravel	3.89	0.72	3.96
C1	gravel	7.27	0.51	2.41
C1	gravel	5.90	0.60	2.95
C1	gravel	14.43	0.64	27.60
C1	gravel	3.51	0.29	11.11
C1	gravel	4.95	0.35	10.98
C1	gravel	16.70	0.61	6.22
C1	gravel	3.93	0.59	4.62
C1	gravel	12.49	0.54	15.10
C1	gravel	6.32	0.27	12.18
B1	gravel	5.54	0.54	10.70
B1	gravel	16.50	0.54	9.40
B1	gravel	10.83	0.62	6.70
B1	gravel	6.84	0.35	24.50
B1	gravel	7.90	0.59	12.90
B1	gravel	4.71	0.58	6.00
B1	gravel	5.61	0.51	2.90
B1	gravel	26.44	0.45	28.00
B1	gravel	2.20	0.42	3.40
B1	gravel	20.03	0.82	20.30
B1	gravel	21.05	1.03	12.70
B1	gravel	12.37	0.66	14.40
B1	gravel	21.42	1.09	12.40
B1	gravel	4.26	0.47	3.10
B1	gravel	11.13	0.81	22.70
B1	gravel	4.40	0.78	3.00
C1	sand	12.35	1.37	17.70
C1	sand	2.79	0.68	3.20
C1	sand	6.96	1.09	7.82
C1	sand	7.21	0.88	17.11
C1	sand	1.99	0.25	10.73
C1	sand	19.13	0.79	25.41
C1	sand	22.41	1.49	11.18
C1	sand	3.00	0.91	9.28
C1	sand	5.68	0.64	26.12
C1	sand	8.23	0.56	11.28
C1	sand	3.94	1.98	1.51
C1	sand	4.03	0.88	11.91
C1	sand	3.20	0.91	3.91
C1	sand	6.58	1.45	12.07
C1	sand	16.57	1.12	9.99
C1	sand	1.96	0.51	8.92
